batch,dot,zdot,div
0,2.924657662,2.795311499,1.922813949
1,2.904889028,1.021577544,1.020866999
2,1.260925975,1.230349458,2.137346886
3,2.362864509,1.10455506,2.372051894
4,3.746200758,2.669593048,1.986892379
5,2.947490878,0.1679819695,1.685635314
6,1.473707221,2.817251273,3.398721153
7,0.8371839819,0.9846649599,3.072656908
8,1.824684109,-0.08671199171,3.161138804
9,3.85994468,0.135384738,1.871727889
10,0.5825389908,2.155143141,0.02934322229
11,1.18728146,0.679916366,1.933223447
12,1.015567343,1.150924964,1.098913879
13,2.452782672,1.232420365,1.673235633
14,1.957304174,2.091307687,1.381886653
15,2.355118981,1.637291179,0.6546821896
16,3.015896738,2.218081759,0.4793096507
17,1.013651635,0.08491128374,1.771217387
18,3.638829231,2.049534339,0.4370531277
19,0.3978566151,3.685902104,2.828513055
20,1.837720418,2.105813025,2.28944354
21,1.912716321,1.022884853,2.004850536
22,3.053908108,2.364734738,2.839865921
23,3.756489734,0.2287923452,2.351033393
24,0.7699922996,2.479314062,2.081158028
25,3.392386728,-0.5839534961,0.1827264663
26,3.921407111,1.275951999,1.921548486
27,2.544435924,2.822943335,1.157372139
28,3.032350338,1.688729075,1.066143124
29,-0.006658668531,0.4930000584,3.172054084
30,2.113451188,0.6568578609,0.4665297216
31,2.909625422,2.890832582,1.741472231
32,0.6180053697,0.9925328608,0.3966656096
33,4.148722379,3.678341395,2.149867437
34,3.953640014,2.064026125,1.796402607
35,2.430460876,2.672953086,1.773854101
36,1.515703829,2.355435312,2.312519411
37,-0.2791907227,1.920652014,1.760634871
38,1.470780767,3.036868535,2.676648338
39,3.027136838,2.502641819,2.30550441
40,2.899773226,0.7254639119,1.933132795
41,3.213402014,1.588197652,1.440810168
42,-0.4435796688,4.305850607,1.877808978
43,3.945647001,0.9474801444,1.984930412
44,2.035756656,0.5507738104,2.505147056
45,1.495688653,2.552007259,2.809741345
46,3.698259927,2.169872282,2.867806672
47,1.084256533,4.534098454,1.846144831
48,2.348563938,0.5821883492,2.56504371
49,2.915917112,1.888901423,1.763811207
50,3.02465749,1.589897755,1.028244491
51,1.084022486,3.299260839,1.57679382
